card,card_type,comment,del,elapsed,elapsed_plus,event_incident_typefk,goal_type,id,match_id,n,player1,pos_x,pos_y,rcards,sortorder,stats,subtype,team,type,value,ycards
,y,y,,78,,73,,379481,1729,342,24157,,,,1,,serious_fouls,10260,card,,
,y,y,,82,,73,,379503,1729,346,30362,,,,1,,serious_fouls,10260,card,,
,y,y,,90,,70,,379547,1729,353,30829,,,,1,,,10260,card,,
,y,y,,56,,73,,377978,1731,327,37442,,,,5,,serious_fouls,8650,card,,
,y,y,,90,,25,,378060,1731,353,46621,,,,3,,stall_time,8650,card,,
,y,y,,39,,73,,376643,1732,278,24223,,,,1,,serious_fouls,8654,card,,
,y,y,,49,,77,,376951,1732,298,37277,,,,1,,shirt_pull,8654,card,,
,y,y,,68,,70,,377290,1732,323,97988,,,,2,,,8528,card,,
,y,y,,34,,73,,378719,1733,233,23939,,,,0,,serious_fouls,8456,card,,
,y,y,,45,,73,,376743,1734,271,24136,,,,1,,serious_fouls,8655,card,,
,y,y,,59,,73,,377153,1734,302,37764,,,,1,,serious_fouls,8655,card,,
,y,y,,75,,73,,377390,1734,295,24004,,,,1,,serious_fouls,8668,card,,
,y,y,,90,4,73,,377658,1734,333,24160,,,,0,,serious_fouls,8668,card,,
,y,y,,61,,73,,377167,1735,322,30818,,,,1,,serious_fouls,8586,card,,
,y,y,,76,,73,,377410,1735,345,23760,,,,3,,serious_fouls,8586,card,,
,y,y,,90,2,73,,377638,1735,364,33128,,,,2,,serious_fouls,8549,card,,
,y,y,,62,,73,,377199,1736,328,26454,,,,0,,serious_fouls,8559,card,,
,y,y,,64,,73,,377231,1736,331,23333,,,,1,,serious_fouls,10194,card,,
,y,y,,90,3,73,,377656,1736,359,24435,,,,0,,serious_fouls,10194,card,,
,y,y,,29,,77,,376480,1737,248,34430,,,,1,,shirt_pull,8667,card,,
,y,y,,44,,73,,376737,1737,262,23022,,,,1,,serious_fouls,8667,card,,
,y,y,,90,,73,,377613,1737,302,23034,,,,4,,serious_fouls,8667,card,,
,y,y,,45,1,79,,378320,1738,306,36286,,,,4,,verbal_abuse,8462,card,,
,y,y,,23,,73,,464128,1739,216,32569,,,,2,,serious_fouls,10260,card,,
,y,y,,65,,73,,465307,1739,254,109898,,,,1,,serious_fouls,8654,card,,
,y,y,,81,,73,,465608,1739,273,24751,,,,1,,serious_fouls,8654,card,,
,y,y,,54,,73,,465001,1740,280,40006,,,,3,,serious_fouls,8586,card,,
,y,y,,57,,73,,465064,1740,287,23760,,,,1,,serious_fouls,8586,card,,
,y,y,,59,,73,,465103,1740,289,24656,,,,1,,serious_fouls,8586,card,,
,y,y,,85,,70,,465612,1740,311,30818,,,,0,,,8586,card,,
,y,y,,90,1,70,,465689,1740,321,27277,,,,6,,,9825,card,,
,y,y,,31,,73,,464256,1741,260,39027,,,,4,,serious_fouls,8456,card,,
,y,y,,45,,79,,464500,1741,262,24213,,,,3,,verbal_abuse,8456,card,,
,y,y,,74,,129,,465409,1741,281,24393,,,,5,,hands,8549,card,,
,y,y,,84,,79,,465592,1741,295,33974,,,,2,,verbal_abuse,8456,card,,
,y,y,,19,,73,,464035,1742,237,33086,,,,1,,serious_fouls,8668,card,,
,y,y,,41,,73,,464482,1742,248,23785,,,,5,,serious_fouls,8559,card,,
,y,y,,90,1,70,,465707,1742,340,39618,,,,0,,,8668,card,,
,y,y,,11,,70,,463518,1743,224,30630,,,,1,,,8455,card,,
,y,y,,58,,70,,464731,1743,242,30686,,,,2,,,8455,card,,
,y,y,,29,,77,,463847,1744,293,40005,,,,1,,shirt_pull,10194,card,,
,y,y,,51,,73,,464657,1744,318,24133,,,,2,,serious_fouls,10194,card,,
,y,y,,70,,73,,465031,1744,301,38802,,,,3,,serious_fouls,8472,card,,
,y,y,,49,,73,,464814,1745,254,23988,,,,2,,serious_fouls,8462,card,,
,y,y,,75,,129,,465402,1745,279,25517,,,,2,,hands,8462,card,,
,y,y,,75,,70,,465733,1745,294,40987,,,,3,,,8462,card,,
,y,y,,78,,73,,465181,1746,300,19020,,,,0,,serious_fouls,8655,card,,
,y,y,,9,,70,,462694,1747,269,42594,,,,2,,,8659,card,,
,y,y,,62,,77,,462990,1747,323,24728,,,,2,,shirt_pull,8659,card,,
,y,y,,67,,70,,463002,1747,327,32570,,,,0,,,8659,card,,
,y,y,,90,3,79,,463080,1747,359,23788,,,,2,,verbal_abuse,8659,card,,
,y,y,,35,,73,,464011,1748,235,38816,,,,0,,serious_fouls,8528,card,,
,y,y,,76,,73,,465198,1748,278,25150,,,,3,,serious_fouls,8528,card,,
,y,y,,20,,73,,467149,1749,202,34275,,,,2,,serious_fouls,8667,card,,
,y,y,,85,,73,,468288,1749,271,30829,,,,1,,serious_fouls,10260,card,,
,y,y,,86,,73,,468295,1749,273,32577,,,,0,,serious_fouls,8667,card,,
