awaypos,card_type,comment,del,elapsed,elapsed_plus,event_incident_typefk,goal_type,homepos,id,injury_time,match_id,n,pos_x,pos_y,possession,sortorder,stats,subtype,type,value
44,,56,,25,,352,,56,379029,,1729,68,,,,1,,possession,special,
46,,54,,45,1,352,,54,379251,,1729,117,,,,4,,possession,special,
46,,54,,70,,352,,54,379443,,1729,190,,,,0,,possession,special,
45,,55,,90,5,352,,55,379575,,1729,252,,,,1,,possession,special,
35,,65,,27,,352,,65,375608,,1730,67,,,,0,,possession,special,
39,,61,,45,2,352,,61,375663,,1730,114,,,,1,,possession,special,
35,,65,,74,,352,,65,375787,,1730,177,,,,3,,possession,special,
34,,66,,90,3,352,,66,375909,,1730,199,,,,2,,possession,special,
55,,45,,25,,352,,45,377876,,1731,85,,,,0,,possession,special,
57,,43,,45,1,352,,43,377944,,1731,144,,,,1,,possession,special,
52,,48,,70,,352,,48,378011,,1731,196,,,,1,,possession,special,
54,,46,,90,4,352,,46,378069,,1731,264,,,,1,,possession,special,
50,,50,,25,,352,,50,376411,,1732,74,,,,0,,possession,special,
44,,56,,45,,352,,56,376739,,1732,108,,,,0,,possession,special,
59,,41,,69,,352,,41,377303,,1732,106,,,,2,,possession,special,
48,,52,,90,1,352,,52,377621,,1732,212,,,,1,,possession,special,
49,,51,,25,,352,,51,378668,,1733,122,,,,0,,possession,special,
46,,54,,45,,352,,54,378781,,1733,33,,,,1,,possession,special,
51,,49,,70,,352,,49,379034,,1733,58,,,,0,,possession,special,
48,,52,,90,,352,,52,379254,,1733,96,,,,2,,possession,special,
54,,46,,25,,352,,46,376438,,1734,70,,,,5,,possession,special,
41,,59,,45,3,352,,59,376819,,1734,120,,,,0,,possession,special,
49,,51,,70,,352,,51,377333,,1734,177,,,,2,,possession,special,
49,,51,,90,6,352,,51,377673,,1734,227,,,,0,,possession,special,
51,,49,,25,,352,,49,376406,,1735,116,,,,0,,possession,special,
51,,49,,45,,352,,49,376755,,1735,49,,,,0,,possession,special,
47,,53,,76,,352,,53,377393,,1735,251,,,,0,,possession,special,
47,,53,,90,,352,,53,377588,,1735,146,,,,0,,possession,special,
42,,58,,25,,352,,58,376417,,1736,127,,,,0,,possession,special,
53,,47,,45,3,352,,47,376824,,1736,124,,,,0,,possession,special,
49,,51,,70,,352,,51,377330,,1736,191,,,,1,,possession,special,
53,,47,,90,4,352,,47,377668,,1736,264,,,,0,,possession,special,
51,,49,,24,,352,,49,376398,,1737,38,,,,1,,possession,special,
50,,50,,70,,352,,50,377348,,1737,157,,,,4,,possession,special,
47,,53,,90,5,352,,53,377672,,1737,218,,,,1,,possession,special,
43,,57,,27,,352,,57,378256,,1738,119,,,,1,,possession,special,
36,,64,,45,2,352,,64,378327,,1738,142,,,,1,,possession,special,
35,,65,,72,,352,,65,378473,,1738,211,,,,0,,possession,special,
41,,59,,25,,352,,59,464186,,1739,113,,,,2,,possession,special,
42,,58,,45,1,352,,58,464546,,1739,104,,,,1,,possession,special,
41,,59,,71,,352,,59,465422,,1739,183,,,,1,,possession,special,
40,,60,,90,1,352,,60,465719,,1739,143,,,,2,,possession,special,
37,,63,,66,,352,,63,465263,,1740,193,,,,0,,possession,special,
38,,62,,90,1,352,,62,465687,,1740,117,,,,4,,possession,special,
52,,48,,25,,352,,48,464068,,1741,151,,,,1,,possession,special,
43,,57,,45,,352,,57,464503,,1741,90,,,,4,,possession,special,
51,,49,,70,,352,,49,465325,,1741,227,,,,3,,possession,special,
55,,45,,90,,352,,45,465671,,1741,153,,,,2,,possession,special,
45,,55,,25,,352,,55,464152,,1742,24,,,,2,,possession,special,
45,,55,,45,,352,,55,464675,,1742,83,,,,1,,possession,special,
45,,55,,70,,352,,55,465406,,1742,117,,,,1,,possession,special,
47,,53,,90,,352,,53,465683,,1742,174,,,,0,,possession,special,
51,,49,,25,,352,,49,463760,,1744,59,,,,0,,possession,special,
50,,50,,45,2,352,,50,464300,,1744,120,,,,0,,possession,special,
49,,51,,70,,352,,51,465009,,1744,190,,,,2,,possession,special,
48,,52,,90,4,352,,52,465524,,1744,255,,,,2,,possession,special,
43,,57,,25,,352,,57,464052,,1745,56,,,,0,,possession,special,
46,,54,,45,,352,,54,464475,,1745,85,,,,2,,possession,special,
46,,54,,70,,352,,54,465441,,1745,189,,,,2,,possession,special,
46,,54,,90,,352,,54,465651,,1745,170,,,,0,,possession,special,
49,,51,,25,,352,,51,463781,,1746,49,,,,2,,possession,special,
51,,49,,45,1,352,,49,464275,,1746,99,,,,0,,possession,special,
48,,52,,70,,352,,52,465000,,1746,170,,,,2,,possession,special,
43,,57,,90,1,352,,57,465462,,1746,204,,,,1,,possession,special,
55,,45,,25,,352,,45,462767,,1747,58,,,,1,,possession,special,
49,,51,,45,1,352,,51,462894,,1747,123,,,,1,,possession,special,
48,,52,,70,,352,,52,463012,,1747,188,,,,3,,possession,special,
49,,51,,90,5,352,,51,463082,,1747,258,,,,2,,possession,special,
45,,55,,25,,352,,55,464262,,1748,86,,,,0,,possession,special,
44,,56,,45,1,352,,56,464331,,1748,92,,,,2,,possession,special,
51,,49,,70,,352,,49,465049,,1748,150,,,,1,,possession,special,
50,,50,,90,2,352,,50,465512,,1748,198,,,,0,,possession,special,
41,,59,,25,,352,,59,467211,,1749,40,,,,2,,possession,special,
47,,53,,45,,352,,53,467533,,1749,82,,,,3,,possession,special,
47,,53,,71,,352,,53,468069,,1749,131,,,,0,,possession,special,
49,,51,,89,,352,,51,468350,,1749,180,,,,1,,possession,special,
64,,36,,25,,352,,36,468688,,1750,61,,,,0,,possession,special,
53,,47,,45,,352,,47,468749,,1750,97,,,,1,,possession,special,
29,,71,,70,,352,,71,468939,,1750,169,,,,1,,possession,special,
51,,49,,90,,352,,49,469028,,1750,216,,,,0,,possession,special,
52,,48,,26,,352,,48,466452,,1751,59,,,,3,,possession,special,
52,,48,,45,1,352,,48,466544,,1751,109,,,,6,,possession,special,
45,,55,,72,,352,,55,466667,,1751,168,,,,1,,possession,special,
46,,54,,90,2,352,,54,466758,,1751,211,,,,0,,possession,special,
42,,58,,25,,352,,58,467198,,1752,39,,,,2,,possession,special,
55,,45,,45,,352,,45,467507,,1752,82,,,,1,,possession,special,
57,,43,,74,,352,,43,468085,,1752,178,,,,1,,possession,special,
47,,53,,90,1,352,,53,468342,,1752,213,,,,1,,possession,special,
59,,41,,25,,352,,41,472965,,1753,61,,,,1,,possession,special,
56,,44,,45,1,352,,44,473024,,1753,122,,,,2,,possession,special,
52,,48,,70,,352,,48,473090,,1753,191,,,,4,,possession,special,
45,,55,,90,4,352,,55,473148,,1753,244,,,,1,,possession,special,
51,,49,,25,,352,,49,470968,,1754,68,,,,1,,possession,special,
49,,51,,45,,352,,51,471245,,1754,126,,,,1,,possession,special,
45,,55,,70,,352,,55,471661,,1754,214,,,,1,,possession,special,
45,,55,,90,,352,,55,471850,,1754,258,,,,1,,possession,special,
44,,56,,25,,352,,56,467275,,1755,64,,,,0,,possession,special,
43,,57,,45,,352,,57,467521,,1755,122,,,,5,,possession,special,
41,,59,,70,,352,,59,468236,,1755,196,,,,0,,possession,special,
41,,59,,90,,352,,59,468373,,1755,171,,,,0,,possession,special,
49,,51,,25,,352,,51,467313,,1756,66,,,,3,,possession,special,
53,,47,,45,2,352,,47,467550,,1756,98,,,,0,,possession,special,
55,,45,,76,,352,,45,468197,,1756,154,,,,1,,possession,special,
55,,45,,90,1,352,,45,468406,,1756,164,,,,5,,possession,special,
59,,41,,25,,352,,41,467209,,1757,57,,,,5,,possession,special,
63,,37,,45,,352,,37,467542,,1757,110,,,,0,,possession,special,
52,,48,,70,,352,,48,468065,,1757,191,,,,4,,possession,special,
55,,45,,90,1,352,,45,468372,,1757,236,,,,0,,possession,special,
48,,52,,25,,352,,52,467202,,1758,116,,,,4,,possession,special,
46,,54,,45,2,352,,54,467561,,1758,150,,,,0,,possession,special,
42,,58,,70,,352,,58,468058,,1758,134,,,,0,,possession,special,
